name,common name
robin hood, hybrid musk rose
robusta, hybrid rugosa rose
rockin robin, shrub rose
rosarium uetersen, large-flowered climbing rose
rose de rescht, damask rose
rose pavot, gallica rose
rose-marie viaud, hybrid multiflora rose
rosemary rose, floribunda rose
roseraie de lhaÿ, hybrid rugosa rose
roter korsar, shrub rose
rotes meer, hybrid rugosa rose
rotkäppchen, polyantha rose
rouge royale, hybrid tea rose
route 66, shrub rose
wekmorfis, shrub rose
roxanne veranda, shrub rose
roxburghii, species rose
roxy, miniature rose
royal occasion, floribunda rose
royal star and garter, large-flowered climbing rose
frybizzy, large-flowered climbing rose
royal william, hybrid tea rose
rubaiyat, hybrid tea rose
ruga, ayrshire rose
russelliana, hybrid multiflora rose
safrano, tea rose
salet, moss rose
salita, climbing rose
sally holmes, shrub rose
sanders white rambler, hybrid wichurana rose
sarah van fleet, hybrid rugosa rose
satchmo, floribunda rose
savannah, hybrid tea rose
korvioros, hybrid tea rose
savoy hotel, hybrid tea rose
scarborough fair, shrub rose
ausoran, shrub rose
scentuous, shrub rose
tan97281 (pbr), shrub rose
schneekoppe, hybrid rugosa rose
sea foam, shrub rose
seagull, hybrid wichurana rose
secret garden musk climber, hybrid musk rose
secret, hybrid tea rose
hilaroma, hybrid tea rose
senior prom, hybrid tea rose
serendipity, shrub rose
setigera, species rose
setina, climbing china rose
setipoda, species rose
seven sisters, hybrid multiflora rose
sexy rexy, floribunda rose
macrexy, floribunda rose
shailers provence, centifolia rose
sierra skye, hybrid tea rose
silver ghost, floribunda rose
kormifari (pbr), floribunda rose
silver moon, hybrid wichurana rose
silver star, hybrid tea rose
sir clough, shrub rose
ausir, shrub rose
sir thomas lipton, hybrid rugosa rose
slaters crimson china, china rose
smiths parish, tea rose
soaring spirits, climbing rose
wekbecfoj, climbing rose
soeur thérèse, hybrid tea rose
sombreuil, large-flowered climber rose
sophys rose, shrub rose
auslot, shrub rose
soul sister, shrub rose
korconvent, shrub rose
sourire dorchidée, shrub rose
south orange perfection, hybrid wichurana
souvenir de baden-baden, hybrid tea rose
souvenir de brod, hybrid setigera rose
souvenir de philémon cochet, hybrid rugosa rose
souvenir de st annes, bourbon rose
sp., rose
sparrieshoop, shrub rose
speelwark, hybrid tea
spinosissima, burnet rose
spinosissima william iii, hybrid spinosissima rose
spong, centifolia rose
square dancer, shrub rose
st cecilia, shrub rose
st davids, china rose
st leonards noisette, found noisette rose
stanwell perpetual, hybrid spinosissima rose
starina, miniature rose
starry night, shrub rose
stephens big purple, hybrid tea rose
stebigpu, hybrid tea rose
strawberry hill, shrub rose
ausrimini, shrub rose
summer joy, rambler rose
summer memories, floribunda rose
koruteli (pbr), floribunda rose
summer romance, floribunda rose
summer wine, large-flowered climbing rose
korizont (pbr), large-flowered climbing rose
sunblest, hybrid tea rose
sunmaid, miniature rose
sunny south, hybrid tea rose
sunrise, large-flowered climbing rose
sunrise sunset, shrub rose
baiset, shrub rose
sunset celebration, hybrid tea rose
sunshine daydream, grandiflora rose
sunsprite, floribunda rose
korresia, floribunda rose
super excelsa, large-flowered climbing rose
helexa, large-flowered climbing rose
super hero, floribunda rose
super jane, hybrid musk rose
surf rider, shrub rose
survivor, hybrid tea rose
swany, miniature rose
meiburenac, miniature rose
sweet drift, shrub rose
sweet fragrance, grandiflora rose
sweet mademoiselle, hybrid tea rose
meinostair, hybrid tea rose
sydonie, hybrid perpetual rose
syracuse, hybrid tea rose
tabris, floribunda rose
tahitian moon, shrub rose
baioon, shrub rose
tamora, shrub rose
tangerine skies, climber rose
kortangenu, climber rose
taos, rose
tapis volant, shrub rose
lenplat, shrub rose
tausendschön, hybrid multiflora rose
teasing georgia, shrub rose
ausbaker, shrub rose
tequila supreme, floribunda rose
meikokan (pbr), floribunda rose
tess of the durbervilles, shrub rose
ausmove (pbr), shrub rose
the alexandra rose, shrub rose
the ancient mariner, shrub rose
the bishop, centifolia rose
the faun, floribunda rose
pouloma, floribunda rose
the finest, hybrid tea rose
the garland, hybrid multiflora rose
the generous gardener, shrub rose
ausdrawn, shrub rose
the gift, polyantha rose
the lady gardener, shrub rose
the lady of the lake, rambler rose
ausherbert, rambler rose
the lark ascending, shrub rose
ausursula, shrub rose
the mayflower, shrub rose
austilly, shrub rose
the mccartney rose, hybrid tea rose
meizeli, hybrid tea rose
the prioress, shrub rose
thelma, hybrid wichurana rose
thérèse bugnet, hybrid rugosa rose
thomas affleck, shrub rose
thor, large-flowered climbing rose
tiki, floribunda rose
tolstoi, hybrid setigera
tomentosa, species rose
topaz jewel, hybrid rugosa rose
moryelrug, hybrid rugosa rose
toulouse-lautrec, hybrid tea rose
tournament of roses, grandiflora rose
träumerei, floribunda rose
travemünde, floribunda rose
traviata, hybrid tea rose
truly yours, hybrid tea rose
wekosunkora, hybrid tea rose
tufton musk seedling, 
tuscany superb, gallica rose
valencia, hybrid tea rose
koreklia, hybrid tea rose
variegata di bologna, bourbon rose
veilchenblau, hybrid multiflora rose
veterans honor, hybrid tea rose
jacopper, hybrid tea rose
victorian lace, hybrid tea rose
vineyard song, shrub rose
virginiana, virginia rose
virgo, hybrid tea rose
vivaldi, hybrid tea rose
voodoo, hybrid tea rose
aromiclea, hybrid tea rose
walmart noisette, found noisette rose
wedding bells, hybrid tea roses
westerland, shrub rose
korwest, shrub rose
whisper, hybrid tea rose
white dorothy, hybrid wichurana rose
white grootendorst, hybrid rugosa rose
white meidiland, shrub rose
meicoublan, shrub rose
white pet, polyantha rose
wife of bath, shrub rose
wild blue yonder, grandiflora rose
wekisosblip, grandiflora rose
wildfire, hybrid tea rose
wilhelm, hybrid musk rose
william baffin, hybrid kordesii rose
william lobb, moss rose
william shakespeare 2000, shrub rose
woodsii, western wild rose
xanthina f. hugonis, father hugo's rose
yankee lady, hybrid rugosa rose
uhlwe, hybrid rugosa rose
yellow submarine, shrub rose
yolande daragon, portland rose
york and lancaster, damask rose
yvonne rabier, polyantha rose
zaide, shrub rose
zéphirine drouhin, bourbon rose
zeus, large-flowered climbing rose
zwerg, hybrid rugosa rose
